software,precision,recall,fscore
hbase,0.0948275862068965,0.44,0.1560283687943262
hbase,0.109090909090909,0.48,0.1777777777777777
hbase,0.1111111111111111,0.48,0.1804511278195488
hbase,0.1171171171171171,0.52,0.1911764705882352
hbase,0.1238938053097345,0.56,0.2028985507246377
hbase,0.091743119266055,0.4,0.1492537313432835
hbase,0.1160714285714285,0.52,0.1897810218978102
hbase,0.110091743119266,0.48,0.1791044776119403
hbase,0.1160714285714285,0.52,0.1897810218978102
hbase,0.0964912280701754,0.44,0.158273381294964
