sysbench-10000-4-16-20,tpcc-w2-1-10,tpcc-w4-4-20,sysbench-1000-8-8-40
max_heap_table_size,cte_max_recursion_depth,session_track_state_change,max_allowed_packet
tmp_table_size,lock_wait_timeout,transaction_read_only,read_buffer_size
max_points_in_geometry,select_into_disk_sync_delay,optimizer_prune_level,range_optimizer_max_mem_size
wait_timeout,max_points_in_geometry,optimizer_search_depth,max_seeks_for_key
optimizer_prune_level,range_alloc_block_size,range_optimizer_max_mem_size,range_alloc_block_size
optimizer_search_depth,query_alloc_block_size,max_seeks_for_key,query_alloc_block_size
range_optimizer_max_mem_size,transaction_alloc_block_size,,max_user_connections
div_precision_increment,connection_memory_limit,,old_alter_table
sort_buffer_size,,,
max_seeks_for_key,,,
range_alloc_block_size,,,
query_alloc_block_size,,,
transaction_alloc_block_size,,,
max_user_connections,,,
old_alter_table,,,
max_execution_time,,,
information_schema_stats_expiry,,,
select_into_buffer_size,,,
connection_memory_limit,,,
