name,valuename,value
variables_hash_max_size,min,10
variables_hash_max_size,max,10000
variables_hash_max_size,default,512
variables_hash_bucket_size,min,10
variables_hash_bucket_size,max,10000
variables_hash_bucket_size,default,64
underscores_in_headers,min,on
underscores_in_headers,max,off
underscores_in_headers,default,off
types_hash_max_size,min,10
types_hash_max_size,max,10000
types_hash_max_size,default,1024
types_hash_bucket_size,min,10
types_hash_bucket_size,max,10000
types_hash_bucket_size,default,32
tcp_nopush,min,on
tcp_nopush,max,off
tcp_nopush,default,off
tcp_nodelay,min,on
tcp_nodelay,max,off
tcp_nodelay,default,off
subrequest_output_buffer_size,min,10
subrequest_output_buffer_size,max,10000
subrequest_output_buffer_size,default,8k
server_tokens,min,on
server_tokens,max,off
server_tokens,default,off
server_names_hash_max_size,min,10
server_names_hash_max_size,max,10000
server_names_hash_max_size,default,512
server_names_hash_bucket_size,min,10
server_names_hash_bucket_size,max,10000
server_names_hash_bucket_size,default,64
sendfile_max_chunk,min,10
sendfile_max_chunk,max,10000
sendfile_max_chunk,default,512k
sendfile,min,on
sendfile,max,off
sendfile,default,on
send_timeout,min,10
send_timeout,max,10000
send_timeout,default,60s
send_lowat,min,10
send_lowat,max,10000
send_lowat,default,16384
resolver_timeout,min,10
resolver_timeout,max,10000
resolver_timeout,default,5s
reset_timedout_connection,min,off
reset_timedout_connection,max,on
